"make","model","trim","year","vin","highlights","basic_data","prices"
"Nissan","Sentra","S","2023","3N1AB8BVXPY284858","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""Front Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""16 X 6.5"", ""transmissionType"": ""CVT w/OD"", ""engine_displacement"": ""2.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""29"", ""fuel_consumption_highway"": ""39""}","{""make"": ""Nissan"", ""trim"": ""S"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Sentra"", ""style"": ""S CVT"", ""source"": ""Chrome"", ""body_type"": ""S CVT"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Front Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4-door Mid-Size Passenger Car"", ""model_number"": ""12013"", ""package_code"": """", ""vehicle_type"": ""4dr Car"", ""is_chrome_make"": true, ""oem_body_style"": ""4dr Car"", ""bed_length_foot"": """"}","{""MSRP"": 21220, ""invoice"": 20405, ""estimatedPackagesMSRP"": 75, ""estimatedPackagesInvoice"": 65}"
"GMC","Yukon","Denali Ultimate","2023","1GKS2EKLXPR154037","{""doors"": ""4"", ""seats"": ""7"", ""carType"": [""Luxury"", ""SUV""], ""moonroof"": false, ""cylinders"": ""8"", ""cargoSpace"": """", ""drive_type"": ""Four Wheel Drive"", ""navigation"": false, ""seatCooling"": true, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": true, ""rearViewCamera"": true, ""wheel_diameter"": ""22"", ""transmissionType"": ""A"", ""engine_displacement"": ""6.2"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""14"", ""fuel_consumption_highway"": ""18""}","{""make"": ""GMC"", ""trim"": ""Denali Ultimate"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Yukon"", ""style"": ""4WD 4dr Denali Ultimate"", ""source"": ""Chrome"", ""body_type"": ""4WD 4dr Denali Ultimate"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Four Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""TK10706"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 94140, ""invoice"": 86365, ""estimatedPackagesMSRP"": 495, ""estimatedPackagesInvoice"": 450.45}"
"Ford","Transit Connect","XL","2023","NM0LS7S27P1549873","{""doors"": ""4"", ""seats"": ""2"", ""carType"": [""Van""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""127.4"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""16.0 x 6.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""2.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""24"", ""fuel_consumption_highway"": ""28""}","{""make"": ""Ford"", ""trim"": ""XL"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Transit Connect"", ""style"": ""XL 4dr LWB Cargo Mini-Van w/Rear Cargo Doors"", ""source"": ""DataOne"", ""body_type"": ""Mini-Van"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": ""992"", ""body_subtype"": ""Cargo"", ""model_number"": ""S7S"", ""package_code"": ""100A"", ""vehicle_type"": ""Van"", ""is_chrome_make"": false, ""oem_body_style"": ""Cargo Mini-Van"", ""bed_length_foot"": null}","{""MSRP"": 38960, ""invoice"": 37388, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Land Rover","Defender","130 SE","2023","SALEPFEU7P2215415","{""doors"": ""4"", ""seats"": ""8"", ""carType"": [""Luxury"", ""SUV""], ""moonroof"": true, ""cylinders"": ""6"", ""cargoSpace"": ""15.3"", ""drive_type"": ""AWD"", ""navigation"": true, ""seatCooling"": true, ""seatHeating"": true, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""20.0 x 8.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""3.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": null, ""fuel_consumption_highway"": null}","{""make"": ""Land Rover"", ""trim"": ""130 SE"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Defender"", ""style"": ""AWD 130 SE 4dr SUV"", ""source"": ""DataOne"", ""body_type"": ""SUV"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""AWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""AK663"", ""package_code"": ""351CK"", ""vehicle_type"": ""SUV"", ""is_chrome_make"": false, ""oem_body_style"": ""SUV"", ""bed_length_foot"": null}","{""MSRP"": 86730, ""invoice"": 82393, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Nissan","Altima","2.5 SL","2024","1N4BL4EW4RN301509","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": true, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""All Wheel Drive"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""19 X 8"", ""transmissionType"": ""CVT w/OD"", ""engine_displacement"": ""2.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""26"", ""fuel_consumption_highway"": ""36""}","{""make"": ""Nissan"", ""trim"": ""2.5 SL"", ""year"": ""2024"", ""doors"": ""4"", ""model"": ""Altima"", ""style"": ""2.5 SL AWD Sedan"", ""source"": ""Chrome"", ""body_type"": ""2.5 SL AWD Sedan"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""All Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4-door Mid-Size Passenger Car"", ""model_number"": ""13614"", ""package_code"": """", ""vehicle_type"": ""4dr Car"", ""is_chrome_make"": true, ""oem_body_style"": ""4dr Car"", ""bed_length_foot"": """"}","{""MSRP"": 36615, ""invoice"": 34405, ""estimatedPackagesMSRP"": 1195, ""estimatedPackagesInvoice"": 1024}"
"Kia","Forte","LXS","2023","3KPF24AD8PE644604","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""15.3"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""16.0 x 6.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""2.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""28"", ""fuel_consumption_highway"": ""39""}","{""make"": ""Kia"", ""trim"": ""LXS"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Forte"", ""style"": ""LXS 4dr Sedan"", ""source"": ""DataOne"", ""body_type"": ""Sedan"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""C3422"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": true, ""oem_body_style"": ""Sedan"", ""bed_length_foot"": null}","{""MSRP"": 21785, ""invoice"": 21229, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Nissan","LEAF","SV PLUS","2024","1N4CZ1CV9RC551447","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""hybrid_electric"", ""Hatchback""], ""moonroof"": false, ""cylinders"": null, ""cargoSpace"": ""23.6"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""17.0 x 6.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""0.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": null, ""fuel_consumption_highway"": null}","{""make"": ""Nissan"", ""trim"": ""SV PLUS"", ""year"": ""2024"", ""doors"": ""4"", ""model"": ""LEAF"", ""style"": ""SV PLUS 4dr Hatchback"", ""source"": ""DataOne"", ""body_type"": ""Hatchback"", ""fuel_type"": ""L"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""17114"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": true, ""oem_body_style"": ""Hatchback"", ""bed_length_foot"": null}","{""MSRP"": 38195, ""invoice"": 36150, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"GMC","Yukon XL","AT4","2023","1GKS2HKD9PR176928","{""doors"": ""4"", ""seats"": ""7"", ""carType"": [""SUV""], ""moonroof"": false, ""cylinders"": ""8"", ""cargoSpace"": """", ""drive_type"": ""Four Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": true, ""rearViewCamera"": true, ""wheel_diameter"": ""20 x 9"", ""transmissionType"": ""A"", ""engine_displacement"": ""5.3"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""15"", ""fuel_consumption_highway"": ""19""}","{""make"": ""GMC"", ""trim"": ""AT4"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Yukon XL"", ""style"": ""4WD 4dr AT4"", ""source"": ""Chrome"", ""body_type"": ""4WD 4dr AT4"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Four Wheel Drive"", ""engine_code"": ""L84"", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""TK10906"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 80310, ""invoice"": 77080, ""estimatedPackagesMSRP"": 9955, ""estimatedPackagesInvoice"": 9059.050000000001}"
"Nissan","Rogue","SV","2023","JN8BT3BA0PW003497","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Crossover"", ""Hatchback""], ""moonroof"": false, ""cylinders"": ""3"", ""cargoSpace"": """", ""drive_type"": ""Front Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18 X 7.5"", ""transmissionType"": ""CVT w/OD"", ""engine_displacement"": ""1.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""30"", ""fuel_consumption_highway"": ""37""}","{""make"": ""Nissan"", ""trim"": ""SV"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Rogue"", ""style"": ""FWD SV"", ""source"": ""Chrome"", ""body_type"": ""FWD SV"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Front Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""2WD Sport Utility Vehicles"", ""model_number"": ""29313"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 35920, ""invoice"": 34191, ""estimatedPackagesMSRP"": 4830, ""estimatedPackagesInvoice"": 4258}"
"Nissan","Altima","2.5 SR","2024","1N4BL4CV3RN318814","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""15.4"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""19.0 x 8.0"", ""transmissionType"": ""A"", ""engine_displacement"": ""2.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": null, ""fuel_consumption_highway"": null}","{""make"": ""Nissan"", ""trim"": ""2.5 SR"", ""year"": ""2024"", ""doors"": ""4"", ""model"": ""Altima"", ""style"": ""2.5 SR 4dr Sedan"", ""source"": ""DataOne"", ""body_type"": ""Sedan"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""13514"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": true, ""oem_body_style"": ""Sedan"", ""bed_length_foot"": null}","{""MSRP"": 29920, ""invoice"": 27888, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Hyundai","Santa Fe","SE","2023","5NMS1DAJ5PH562362","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Crossover"", ""SUV"", ""Small SUV""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""All Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18 X 7.5"", ""transmissionType"": ""Automatic w/OD"", ""engine_displacement"": ""2.5"", ""entertainmentScreen"": true, ""fuel_consumption_city"": ""22"", ""fuel_consumption_highway"": ""25""}","{""make"": ""Hyundai"", ""trim"": ""SE"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Santa Fe"", ""style"": ""SE AWD"", ""source"": ""Chrome"", ""body_type"": ""SE AWD"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""All Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""644B2A4S"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 32430, ""invoice"": 31295, ""estimatedPackagesMSRP"": 645, ""estimatedPackagesInvoice"": 517}"
"Lexus","NX 350","Premium","2023","2T2GGCEZ9PC022948","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Luxury"", ""Crossover"", ""Hatchback""], ""moonroof"": true, ""cylinders"": ""4"", ""cargoSpace"": ""22.7"", ""drive_type"": ""AWD"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18.0 x 7.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""2.4"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""22"", ""fuel_consumption_highway"": ""29""}","{""make"": ""Lexus"", ""trim"": ""Premium"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""NX 350"", ""style"": ""AWD Premium 4dr Crossover"", ""source"": ""DataOne"", ""body_type"": ""Wagon"", ""fuel_type"": ""G"", ""oem_doors"": ""5"", ""drive_type"": ""AWD"", ""engine_code"": ""T24A-FTS"", ""body_subtype"": ""Crossover"", ""model_number"": ""9835"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": false, ""oem_body_style"": ""Crossover"", ""bed_length_foot"": null}","{""MSRP"": 47015, ""invoice"": 44708, ""estimatedPackagesMSRP"": 450, ""estimatedPackagesInvoice"": 415}"
"Mercedes-Benz","E-Class","E 450 4MATIC","2023","W1K1J5KB3PF197336","{""doors"": ""2"", ""seats"": ""4"", ""carType"": [""Luxury"", ""Coupe"", ""Compact""], ""moonroof"": true, ""cylinders"": ""6"", ""cargoSpace"": ""10.0"", ""drive_type"": ""AWD"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": false, ""headsupDisplay"": true, ""rearViewCamera"": true, ""wheel_diameter"": ""18.0 x 8.0"", ""transmissionType"": ""A"", ""engine_displacement"": ""3.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""21"", ""fuel_consumption_highway"": ""30""}","{""make"": ""Mercedes-Benz"", ""trim"": ""E 450 4MATIC"", ""year"": ""2023"", ""doors"": ""2"", ""model"": ""E-Class"", ""style"": ""AWD E 450 4MATIC 2dr Coupe"", ""source"": ""DataOne"", ""body_type"": ""Coupe"", ""fuel_type"": ""G"", ""oem_doors"": ""2"", ""drive_type"": ""AWD"", ""engine_code"": ""M256"", ""body_subtype"": null, ""model_number"": ""E450C4"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": false, ""oem_body_style"": ""Coupe"", ""bed_length_foot"": null}","{""MSRP"": 83220, ""invoice"": 79446, ""estimatedPackagesMSRP"": 3500, ""estimatedPackagesInvoice"": 3308}"
"Chevrolet","Silverado 2500HD","Work Truck","2024","1GC3WLEY4RF117814","{""doors"": ""2"", ""seats"": ""3"", ""carType"": [""Truck""], ""moonroof"": false, ""cylinders"": ""8"", ""cargoSpace"": """", ""drive_type"": ""Rear Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18"", ""transmissionType"": ""A"", ""engine_displacement"": ""6.6"", ""entertainmentScreen"": false, ""fuel_consumption_city"": null, ""fuel_consumption_highway"": null}","{""make"": ""Chevrolet"", ""trim"": ""Work Truck"", ""year"": ""2024"", ""doors"": ""2"", ""model"": ""Silverado 2500HD"", ""style"": ""2WD Reg Cab 142\"" Work Truck"", ""source"": ""Chrome"", ""body_type"": ""2WD Reg Cab 142\"" Work Truck"", ""fuel_type"": ""Diesel Fuel"", ""oem_doors"": ""2"", ""drive_type"": ""Rear Wheel Drive"", ""engine_code"": ""L5P"", ""body_subtype"": ""2WD Standard Pickup Trucks"", ""model_number"": ""CC20903"", ""package_code"": """", ""vehicle_type"": ""Regular Cab Pickup - Long Bed"", ""is_chrome_make"": true, ""oem_body_style"": ""Regular Cab Pickup - Long Bed"", ""bed_length_foot"": """"}","{""MSRP"": 58265, ""invoice"": 55600, ""estimatedPackagesMSRP"": 12695, ""estimatedPackagesInvoice"": 11552.45}"
"Nissan","Rogue","SV","2023","JN8BT3BB0PW475448","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Crossover"", ""Hatchback""], ""moonroof"": false, ""cylinders"": ""3"", ""cargoSpace"": """", ""drive_type"": ""All Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18 X 7.5"", ""transmissionType"": ""CVT w/OD"", ""engine_displacement"": ""1.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""28"", ""fuel_consumption_highway"": ""35""}","{""make"": ""Nissan"", ""trim"": ""SV"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Rogue"", ""style"": ""AWD SV"", ""source"": ""Chrome"", ""body_type"": ""AWD SV"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""All Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""29213"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 32940, ""invoice"": 31631, ""estimatedPackagesMSRP"": 655, ""estimatedPackagesInvoice"": 561}"
"Mercedes-Benz","E-Class","E 450 4MATIC All-Terrain","2023","W1KZH6AB0PB111736","{""doors"": ""4"", ""seats"": ""7"", ""carType"": [""Luxury"", ""Hatchback""], ""moonroof"": true, ""cylinders"": ""6"", ""cargoSpace"": ""35.0"", ""drive_type"": ""AWD"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""19.0 x 8.0"", ""transmissionType"": ""A"", ""engine_displacement"": ""3.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""21"", ""fuel_consumption_highway"": ""28""}","{""make"": ""Mercedes-Benz"", ""trim"": ""E 450 4MATIC All-Terrain"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""E-Class"", ""style"": ""AWD E 450 4MATIC All-Terrain 4dr Wagon"", ""source"": ""DataOne"", ""body_type"": ""Wagon"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""AWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""E450S4"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": false, ""oem_body_style"": ""Wagon"", ""bed_length_foot"": null}","{""MSRP"": 73170, ""invoice"": 69949, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Kia","K5","GT-Line","2023","5XXG64J24PG208945","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Sedan""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""16.0"", ""drive_type"": ""FWD"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18.0 x 7.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""1.6"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""27"", ""fuel_consumption_highway"": ""37""}","{""make"": ""Kia"", ""trim"": ""GT-Line"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""K5"", ""style"": ""GT-Line 4dr Sedan"", ""source"": ""DataOne"", ""body_type"": ""Sedan"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""L4252"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": true, ""oem_body_style"": ""Sedan"", ""bed_length_foot"": null}","{""MSRP"": 29540, ""invoice"": 28751, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Hyundai","Kona","SEL","2023","KM8K6CABXPU977279","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Crossover"", ""Small SUV"", ""SUV""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""All Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""17 X 7"", ""transmissionType"": ""CVT w/OD"", ""engine_displacement"": ""2.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""28"", ""fuel_consumption_highway"": ""33""}","{""make"": ""Hyundai"", ""trim"": ""SEL"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Kona"", ""style"": ""SEL Auto AWD"", ""source"": ""Chrome"", ""body_type"": ""SEL Auto AWD"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""All Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""Q0422A45"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 27130, ""invoice"": 26316, ""estimatedPackagesMSRP"": 535, ""estimatedPackagesInvoice"": 428}"
"GMC","Yukon XL","Denali","2023","1GKS2JKL3PR427067","{""doors"": ""4"", ""seats"": ""7"", ""carType"": [""Luxury"", ""SUV""], ""moonroof"": false, ""cylinders"": ""8"", ""cargoSpace"": """", ""drive_type"": ""Four Wheel Drive"", ""navigation"": false, ""seatCooling"": true, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": true, ""rearViewCamera"": true, ""wheel_diameter"": ""22 x 9"", ""transmissionType"": ""A"", ""engine_displacement"": ""6.2"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""14"", ""fuel_consumption_highway"": ""18""}","{""make"": ""GMC"", ""trim"": ""Denali"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Yukon XL"", ""style"": ""4WD 4dr Denali"", ""source"": ""Chrome"", ""body_type"": ""4WD 4dr Denali"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Four Wheel Drive"", ""engine_code"": ""L87"", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""TK10906"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 98060, ""invoice"": 93755, ""estimatedPackagesMSRP"": 25245, ""estimatedPackagesInvoice"": 22972.950000000004}"
"Hyundai","Santa Fe","SE","2023","5NMS1DAJ7PH551363","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Crossover"", ""SUV"", ""Small SUV""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""All Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18 X 7.5"", ""transmissionType"": ""Automatic w/OD"", ""engine_displacement"": ""2.5"", ""entertainmentScreen"": true, ""fuel_consumption_city"": ""22"", ""fuel_consumption_highway"": ""25""}","{""make"": ""Hyundai"", ""trim"": ""SE"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Santa Fe"", ""style"": ""SE AWD"", ""source"": ""Chrome"", ""body_type"": ""SE AWD"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""All Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""644B2A4S"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 32060, ""invoice"": 30947, ""estimatedPackagesMSRP"": 575, ""estimatedPackagesInvoice"": 461}"
"Audi","A5","2.0T quattro Premium Plus","2022","WAUWAGF56NN004046","{""doors"": ""2"", ""seats"": ""4"", ""carType"": [""Luxury"", ""Convertible"", ""Coupe"", ""Compact""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""9.3"", ""drive_type"": ""AWD"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18.0 x 8.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""2.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""23"", ""fuel_consumption_highway"": ""31""}","{""make"": ""Audi"", ""trim"": ""2.0T quattro Premium Plus"", ""year"": ""2022"", ""doors"": ""2"", ""model"": ""A5"", ""style"": ""AWD 2.0T quattro Premium Plus 2dr Convertible"", ""source"": ""DataOne"", ""body_type"": ""Convertible"", ""fuel_type"": ""G"", ""oem_doors"": ""2"", ""drive_type"": ""AWD"", ""engine_code"": null, ""body_subtype"": null, ""model_number"": ""F5EBAY"", ""package_code"": ""WPS"", ""vehicle_type"": ""Car"", ""is_chrome_make"": false, ""oem_body_style"": ""Convertible"", ""bed_length_foot"": null}","{""MSRP"": 60670, ""invoice"": 58243, ""estimatedPackagesMSRP"": 1500, ""estimatedPackagesInvoice"": 1411}"
