"make","model","trim","year","vin","highlights","basic_data","prices"
"Jeep","Grand Cherokee","Limited","2023","1C4RJHBGXPC620781","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""SUV""], ""moonroof"": false, ""cylinders"": ""6"", ""cargoSpace"": """", ""drive_type"": ""Four Wheel Drive"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""20 X 8.5"", ""transmissionType"": ""Automatic w/OD"", ""engine_displacement"": ""3.6"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""19"", ""fuel_consumption_highway"": ""26""}","{""make"": ""Jeep"", ""trim"": ""Limited"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Grand Cherokee"", ""style"": ""Limited 4x4"", ""source"": ""Chrome"", ""body_type"": ""Limited 4x4"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Four Wheel Drive"", ""engine_code"": ""ERC"", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""WLJP74"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 57100, ""invoice"": 55453, ""estimatedPackagesMSRP"": 5075, ""estimatedPackagesInvoice"": 4566}"
"Hyundai","Tucson","SEL","2023","5NMJFCAE3PH250325","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Crossover"", ""SUV"", ""Small SUV""], ""moonroof"": true, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""All Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""19 X 7.5"", ""transmissionType"": ""Automatic w/OD"", ""engine_displacement"": ""2.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""23"", ""fuel_consumption_highway"": ""28""}","{""make"": ""Hyundai"", ""trim"": ""SEL"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Tucson"", ""style"": ""SEL AWD"", ""source"": ""Chrome"", ""body_type"": ""AWD"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""All Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""85432A4S"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 34640, ""invoice"": 33721, ""estimatedPackagesMSRP"": 3305, ""estimatedPackagesInvoice"": 3127}"
"Jeep","Grand Cherokee","Limited","2023","1C4RJHBGXPC619713","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""SUV""], ""moonroof"": false, ""cylinders"": ""6"", ""cargoSpace"": """", ""drive_type"": ""Four Wheel Drive"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18 X 8"", ""transmissionType"": ""Automatic w/OD"", ""engine_displacement"": ""3.6"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""19"", ""fuel_consumption_highway"": ""26""}","{""make"": ""Jeep"", ""trim"": ""Limited"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Grand Cherokee"", ""style"": ""Limited 4x4"", ""source"": ""Chrome"", ""body_type"": ""Limited 4x4"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Four Wheel Drive"", ""engine_code"": ""ERC"", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""WLJP74"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 52620, ""invoice"": 51423, ""estimatedPackagesMSRP"": 595, ""estimatedPackagesInvoice"": 536}"
"Jeep","Compass","High Altitude","2023","3C4NJDCN6PT530732","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Crossover"", ""Small SUV"", ""SUV""], ""moonroof"": true, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""Four Wheel Drive"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""19 X 7.5"", ""transmissionType"": ""Automatic w/OD"", ""engine_displacement"": ""2.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""24"", ""fuel_consumption_highway"": ""32""}","{""make"": ""Jeep"", ""trim"": ""High Altitude"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Compass"", ""style"": ""High Altitude 4x4"", ""source"": ""Chrome"", ""body_type"": ""4x4"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Four Wheel Drive"", ""engine_code"": ""EC1"", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""MPJP74"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 39935, ""invoice"": 39252, ""estimatedPackagesMSRP"": 2845, ""estimatedPackagesInvoice"": 2617}"
"Lexus","NX 350","F SPORT Handling","2023","2T2KGCEZ6PC027003","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Luxury"", ""Crossover"", ""Hatchback""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""22.7"", ""drive_type"": ""AWD"", ""navigation"": true, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": false, ""headsupDisplay"": true, ""rearViewCamera"": true, ""wheel_diameter"": ""20.0 x 7.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""2.4"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""22"", ""fuel_consumption_highway"": ""28""}","{""make"": ""Lexus"", ""trim"": ""F SPORT Handling"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""NX 350"", ""style"": ""AWD F SPORT Handling 4dr Crossover"", ""source"": ""DataOne"", ""body_type"": ""Wagon"", ""fuel_type"": ""G"", ""oem_doors"": ""5"", ""drive_type"": ""AWD"", ""engine_code"": ""T24A-FTS"", ""body_subtype"": ""Crossover"", ""model_number"": ""9838"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": false, ""oem_body_style"": ""Crossover"", ""bed_length_foot"": null}","{""MSRP"": 55995, ""invoice"": 52863, ""estimatedPackagesMSRP"": 1520, ""estimatedPackagesInvoice"": 1399}"
"Hyundai","Tucson","SEL","2023","5NMJFCAE3PH249790","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Crossover"", ""SUV"", ""Small SUV""], ""moonroof"": true, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""All Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""19 X 7.5"", ""transmissionType"": ""Automatic w/OD"", ""engine_displacement"": ""2.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""23"", ""fuel_consumption_highway"": ""28""}","{""make"": ""Hyundai"", ""trim"": ""SEL"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Tucson"", ""style"": ""SEL AWD"", ""source"": ""Chrome"", ""body_type"": ""AWD"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""All Wheel Drive"", ""engine_code"": """", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""85432A4S"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 34255, ""invoice"": 33435, ""estimatedPackagesMSRP"": 2920, ""estimatedPackagesInvoice"": 2756}"
"Honda","Accord","LX","2023","1HGCY1F20PA014829","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""16.7"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""17.0 x 7.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""1.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""29"", ""fuel_consumption_highway"": ""37""}","{""make"": ""Honda"", ""trim"": ""LX"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Accord"", ""style"": ""LX 4dr Sedan"", ""source"": ""DataOne"", ""body_type"": ""Sedan"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": ""L15BE"", ""body_subtype"": null, ""model_number"": ""CY1F2PEW"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": false, ""oem_body_style"": ""Sedan"", ""bed_length_foot"": null}","{""MSRP"": 28390, ""invoice"": 27414, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Honda","Accord","LX","2023","1HGCY1F21PA010532","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""16.7"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""17.0 x 7.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""1.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""29"", ""fuel_consumption_highway"": ""37""}","{""make"": ""Honda"", ""trim"": ""LX"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Accord"", ""style"": ""LX 4dr Sedan"", ""source"": ""DataOne"", ""body_type"": ""Sedan"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": ""L15BE"", ""body_subtype"": null, ""model_number"": ""CY1F2PEW"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": false, ""oem_body_style"": ""Sedan"", ""bed_length_foot"": null}","{""MSRP"": 28845, ""invoice"": 27617, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Honda","Accord","LX","2023","1HGCY1F24PA014669","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Small Sedan"", ""Sedan""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": ""16.7"", ""drive_type"": ""FWD"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": false, ""keylessEntry"": false, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""17.0 x 7.5"", ""transmissionType"": ""A"", ""engine_displacement"": ""1.5"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""29"", ""fuel_consumption_highway"": ""37""}","{""make"": ""Honda"", ""trim"": ""LX"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Accord"", ""style"": ""LX 4dr Sedan"", ""source"": ""DataOne"", ""body_type"": ""Sedan"", ""fuel_type"": ""G"", ""oem_doors"": ""4"", ""drive_type"": ""FWD"", ""engine_code"": ""L15BE"", ""body_subtype"": null, ""model_number"": ""CY1F2PEW"", ""package_code"": null, ""vehicle_type"": ""Car"", ""is_chrome_make"": false, ""oem_body_style"": ""Sedan"", ""bed_length_foot"": null}","{""MSRP"": 28390, ""invoice"": 27126, ""estimatedPackagesMSRP"": 0, ""estimatedPackagesInvoice"": 0}"
"Jeep","Compass","Limited","2023","3C4NJDCNXPT508278","{""doors"": ""4"", ""seats"": ""5"", ""carType"": [""Crossover"", ""Small SUV"", ""SUV""], ""moonroof"": false, ""cylinders"": ""4"", ""cargoSpace"": """", ""drive_type"": ""Four Wheel Drive"", ""navigation"": false, ""seatCooling"": false, ""seatHeating"": true, ""keylessEntry"": true, ""headsupDisplay"": false, ""rearViewCamera"": true, ""wheel_diameter"": ""18 X 7"", ""transmissionType"": ""Automatic w/OD"", ""engine_displacement"": ""2.0"", ""entertainmentScreen"": false, ""fuel_consumption_city"": ""24"", ""fuel_consumption_highway"": ""32""}","{""make"": ""Jeep"", ""trim"": ""Limited"", ""year"": ""2023"", ""doors"": ""4"", ""model"": ""Compass"", ""style"": ""Limited 4x4"", ""source"": ""Chrome"", ""body_type"": ""4x4"", ""fuel_type"": ""Gasoline Fuel"", ""oem_doors"": ""4"", ""drive_type"": ""Four Wheel Drive"", ""engine_code"": ""EC1"", ""body_subtype"": ""4WD Sport Utility Vehicles"", ""model_number"": ""MPJP74"", ""package_code"": """", ""vehicle_type"": ""Sport Utility"", ""is_chrome_make"": true, ""oem_body_style"": ""Sport Utility"", ""bed_length_foot"": """"}","{""MSRP"": 37535, ""invoice"": 37044, ""estimatedPackagesMSRP"": 495, ""estimatedPackagesInvoice"": 456}"
